発生年月日,発生時間,曜日,時間帯,天気,発生場所,路線,道路形状,事故類型,当事者　甲,性別　甲,当事者　乙,性別　乙,BCODE,SCODE,HCODE,EDIT_DAT,x,y
平成27年8月13日,午後2時35分ころ,木曜日,昼,曇,太田市西本町地内,県道太田境東線,単路,車両単独,普通乗用車,男,柵,,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/08/,139.3609345,36.29612884
平成27年8月15日,午後1時38分ころ,土曜日,昼,曇,渋川市渋川地内,市道,交差点,車両×歩行者,普通乗用車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/08/,139.0044611,36.49195947
平成27年8月25日,午後7時25分ころ,火曜日,夜,雨,前橋市富士見町赤城山地内,市道,単路,車両単独,普通乗用車,男（高齢者）,樹木,,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/08/,139.0952539,36.5007194
平成27年8月27日,午後4時25分ころ,木曜日,昼,曇,利根郡みなかみ町谷川地内,関越道新潟線・上り,単路,車両×車両,普通貨物車,男,普通貨物車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/08/,138.9254332,36.79660339
平成27年9月13日,午後11時10分ころ,日曜日,夜,晴,利根郡昭和村大字橡久保地内,関越道新潟線・下り,単路,車両×車両,大型貨物車,男,普通乗用車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/09/,139.0680946,36.62684221
平成27年9月24日,午後8時10分ころ,木曜日,夜,雨,伊勢崎市三和町地内,市道,交差点,車両×車両,軽乗用車,男,大型貨物車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/09/,139.2245,36.3540316
平成27年10月12日,午前3時38分ころ,月曜日,夜,晴,前橋市富田町地内,国道17号,単路,車両×車両,軽乗用車,男,大型貨物車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/10/,139.1422747,36.39102174
平成27年10月19日,午後6時32分ころ,月曜日,夜,晴,前橋市小相木町地内,主要地方道前橋長瀞線,交差点,車両×歩行者,軽乗用車,女,歩行者,男（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/10/,139.0570038,36.37767384
平成27年10月26日,午後10時24分ころ,月曜日,夜,晴,渋川市行幸田地内,市道,単路,車両×歩行者,不明,,歩行者,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/10/,139.007207,36.47828047
平成27年11月4日,午後3時48分ころ,水曜日,昼,晴,高崎市金古町地内,主要地方道高崎渋川線,交差点,車両×歩行者,軽貨物車,男（高齢者）,歩行者,女（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/11/,139.0012025,36.41430873
平成27年11月6日,午後6時24分ころ,金曜日,夜,晴,邑楽郡大泉町仙石地内,町道,交差点,車両×歩行者,軽乗用車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/11/,139.4025396,36.2441567
平成27年11月7日,午後0時10分ころ,土曜日,昼,曇,邑楽郡大泉町大字吉田地内,町道,単路,車両×歩行者,普通乗用車,男,歩行者,女（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/11/,139.4132306,36.24084361
平成27年11月21日,午前1時6分ころ,土曜日,夜,晴,富岡市七日市地内,市道,交差点,車両×歩行者,普通乗用車,男（高齢者）,歩行者,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/11/,138.8867984,36.25926428
平成27年11月22日,午前1時16分ころ,日曜日,夜,晴,富岡市富岡地内,国道254号,単路,車両×歩行者,中型貨物車,男,歩行者,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/11/,138.8976805,36.26319952
平成27年11月22日,午後5時44分ころ,日曜日,夜,曇,高崎市箕郷町矢原地内,市道,交差点,車両×二輪車,軽乗用車,女（高齢者）,大型自動二輪車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/11/,138.9500095,36.41319595
平成27年11月29日,午後4時15分ころ,日曜日,昼,晴,沼田市屋形原町地内,国道17号,交差点,車両×車両,普通乗用車,女,大型貨物車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/12/,139.0416523,36.61217804
平成27年11月30日,午後4時53分ころ,月曜日,夜,晴,藤岡市中栗須地内,市道,交差点,自転車×車両,自転車,男（高齢者）,普通貨物車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/12/,139.0731289,36.25709774
平成27年12月3日,午前11時34分ころ,木曜日,昼,晴,高崎市吉井町馬庭地内,県道後賀山名停車場線,交差点,車両×自転車,軽貨物車,男（高齢者）,自転車,女（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/12/,139.0114395,36.26820763
平成27年12月5日,午前3時2分ころ,土曜日,夜,晴,前橋市上沖町地内,主要地方道前橋西久保線,単路,車両×歩行者,大型貨物車,男(高齢者),歩行者,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/12/,139.090431,36.41153284
平成27年12月7日,午後7時57分ころ,月曜日,夜,晴,沼田市利根町平川地内,国道120号,単路,車両×車両,軽貨物車,男,普通乗用車,女,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/12/,139.2183886,36.72244388
平成27年12月9日,午前11時16分ころ,水曜日,昼,晴,前橋市富士見町米野地内,主要地方道渋川大胡線,単路,車両×車両,普通乗用車,男（高齢者）,軽乗用車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/12/,139.0539334,36.46627092
平成27年12月11日<br>,午後1時8分ころ,金曜日,昼,晴,前橋市駒形町地内,市道,交差点,車両×歩行者,普通乗用車,女,歩行者,男（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/12/,139.1360187,36.34079058
平成27年12月16日,午後5時45分ころ,水曜日,夜,曇,前橋市粕川町室沢地内,市道,交差点,車両×車両,軽乗用車,女（高齢者）,普通乗用車,男,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2015/12/,139.2035832,36.44736203
平成27年12月28日,午後8時5分ころ,月曜日,夜,晴,安中市中宿地内,国道18号,単路,車両×歩行者,軽乗用車,男,歩行者,男（高齢者）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,交通死亡事故発生場所（平成２７年中）,2016/01/,138.9233585,36.33268084
